student_id,exam_type,exam_date,Diagnosis: Cardiovascular,Diagnosis: Endocrine,Diagnosis: GI,Diagnosis: Neuro,Diagnosis: Renal,Foundation: Cardiovascular,Foundation: Endocrine,Foundation: GI,Foundation: Neuro,Foundation: Renal,Management: Endocrine,Management: GI,Management: Neuro,Management: Renal,Prevention: Cardiovascular,Prevention: Endocrine,Prevention: GI,Prevention: Neuro,Prevention: Renal,Management: Cardiovascular
S0034,CAS Proctored,2022-11-15,0,33.3,100,100,66.7,80,100,0,66.7,100,50,0,100,100,100,50,100,50,50,50
S0034,CAS Proctored,2023-03-15,33.3,75,100,66.7,25,100,50,50,50,100,83.3,60,100,50,50,50,66.7,33.3,100,100
S0034,CBSE,2021-10-15,0,100,50,100,25,0,50,50,50,75,100,80,100,0,33.3,60,NA,100,40,100
S0034,CBSE,2022-02-10,83.3,33.3,100,50,100,0,50,66.7,71.4,0,83.3,33.3,50,75,NA,NA,0,66.7,66.7,100
S0034,CBSSA,2022-04-20,50,80,75,66.7,50,50,25,60,50,0,0,100,100,80,100,100,100,100,60,NA
S0034,CBSSA,2022-05-25,100,0,0,50,0,66.7,50,60,50,60,100,60,60,100,100,50,100,50,75,0
S0034,CCSE,2023-01-20,0,50,50,33.3,60,100,75,100,100,50,50,80,66.7,66.7,25,66.7,0,0,100,50
S0034,CCSE,2023-05-01,50,0,60,33.3,100,100,50,100,0,50,40,100,NA,75,66.7,25,100,60,50,40
S0034,CCSSA,2023-06-01,100,100,100,66.7,NA,66.7,33.3,75,100,33.3,66.7,NA,100,40,75,100,50,75,60,50
S0034,CCSSA,2023-06-25,50,33.3,100,50,0,100,0,100,100,66.7,50,100,100,100,80,NA,60,50,66.7,50
S0034,Family Medicine,2022-08-15,33.3,75,100,66.7,NA,75,100,0,60,0,66.7,50,50,75,66.7,40,100,75,0,NA
S0034,Internal Medicine,2022-10-10,62.5,66.7,100,NA,100,NA,100,0,100,25,0,100,50,75,100,40,50,50,50,0
S0034,ObGyn,2023-03-20,100,100,0,75,66.7,0,0,66.7,50,25,50,75,33.3,50,75,100,66.7,100,75,100
S0034,Surgery,2023-01-10,NA,100,75,0,75,75,75,100,100,66.7,40,50,60,80,100,75,25,0,50,100
S0035,CAS Proctored,2022-11-15,0,50,50,100,33.3,100,66.7,66.7,66.7,100,100,66.7,0,0,33.3,0,50,33.3,50,100
S0035,CAS Proctored,2023-03-15,62.5,40,100,66.7,50,100,100,50,75,33.3,66.7,80,25,50,100,100,NA,25,75,NA
S0035,CBSE,2021-10-15,NA,50,75,33.3,66.7,100,NA,75,100,33.3,50,50,100,50,33.3,25,50,50,100,33.3
S0035,CBSE,2022-02-10,100,33.3,100,66.7,100,75,0,33.3,75,100,66.7,100,100,33.3,100,50,77.8,66.7,100,100
S0035,CBSSA,2022-04-20,60,100,100,100,75,100,60,100,75,0,NA,50,0,66.7,25,80,0,100,50,100
S0035,CBSSA,2022-05-25,100,66.7,50,33.3,100,66.7,66.7,NA,60,75,50,100,50,60,66.7,100,100,100,60,0
S0035,CCSE,2023-01-20,100,25,100,NA,80,100,100,75,NA,50,40,25,100,66.7,66.7,50,75,100,100,50
S0035,CCSE,2023-05-01,66.7,0,NA,100,33.3,100,66.7,50,80,100,66.7,83.3,100,66.7,50,33.3,100,0,100,33.3
S0035,CCSSA,2023-06-01,66.7,0,100,50,28.6,100,100,100,100,100,33.3,100,0,75,33.3,75,100,0,66.7,40
S0035,CCSSA,2023-06-25,25,100,66.7,75,100,0,100,66.7,0,50,50,100,33.3,50,100,50,55.6,100,33.3,50
S0035,Family Medicine,2022-08-15,50,100,40,100,60,60,100,75,0,60,NA,75,50,50,33.3,0,50,80,80,NA
S0035,Internal Medicine,2022-10-10,50,100,100,0,0,75,NA,62.5,33.3,0,40,60,0,50,75,75,75,42.9,100,50
S0035,ObGyn,2023-03-20,66.7,100,100,100,25,50,100,50,100,0,75,66.7,0,50,0,100,100,25,66.7,66.7
S0035,Surgery,2023-01-10,66.7,50,62.5,50,100,66.7,66.7,80,100,100,60,100,100,100,44.4,100,50,100,33.3,100
S0036,CAS Proctored,2022-11-15,33.3,100,100,100,100,66.7,100,66.7,66.7,66.7,60,100,0,60,66.7,100,100,33.3,66.7,33.3
S0036,CAS Proctored,2023-03-15,40,100,100,50,100,66.7,60,50,50,100,75,50,50,100,50,100,100,57.1,100,83.3
S0036,CBSE,2021-10-15,75,50,66.7,100,50,75,100,50,50,0,100,0,50,66.7,0,87.5,50,40,33.3,50
S0036,CBSE,2022-02-10,66.7,100,50,100,75,100,100,100,50,NA,75,0,75,66.7,66.7,66.7,50,100,100,100
S0036,CBSSA,2022-04-20,0,100,NA,66.7,80,100,50,100,60,50,25,100,66.7,66.7,33.3,50,0,100,66.7,50
S0036,CBSSA,2022-05-25,50,75,0,50,50,100,0,66.7,50,75,100,50,100,33.3,50,100,100,100,66.7,25
S0036,CCSE,2023-01-20,75,NA,25,50,100,100,33.3,20,100,50,66.7,0,100,66.7,0,100,NA,66.7,50,100
S0036,CCSE,2023-05-01,100,100,50,50,50,66.7,66.7,100,50,66.7,100,100,100,100,80,50,100,100,50,66.7
S0036,CCSSA,2023-06-01,50,71.4,100,0,50,33.3,0,42.9,100,50,100,33.3,66.7,100,50,100,60,50,75,100
S0036,CCSSA,2023-06-25,100,66.7,100,50,50,75,75,75,100,50,33.3,100,0,NA,100,0,71.4,75,100,50
S0036,Family Medicine,2022-08-15,33.3,50,100,100,100,66.7,40,50,66.7,80,100,NA,75,100,100,50,50,66.7,NA,66.7
S0036,Internal Medicine,2022-10-10,62.5,NA,100,100,0,100,66.7,100,50,NA,50,80,0,100,100,60,66.7,80,66.7,75
S0036,ObGyn,2023-03-20,NA,80,100,100,50,NA,66.7,100,50,100,50,33.3,40,71.4,100,100,50,80,60,100
S0036,Surgery,2023-01-10,50,100,87.5,66.7,NA,60,50,50,80,66.7,33.3,NA,50,66.7,100,25,50,40,66.7,NA
S0037,CAS Proctored,2022-11-15,50,0,100,50,NA,50,100,50,100,100,83.3,100,83.3,66.7,100,100,25,66.7,60,0
S0037,CAS Proctored,2023-03-15,50,75,25,0,25,0,100,50,50,NA,100,100,100,66.7,50,60,33.3,100,50,100
S0037,CBSE,2021-10-15,75,80,33.3,NA,100,80,0,40,NA,83.3,100,NA,100,NA,50,100,100,66.7,100,80
S0037,CBSE,2022-02-10,100,57.1,33.3,50,100,100,NA,50,20,66.7,50,100,100,0,100,50,100,100,80,80
S0037,CBSSA,2022-04-20,57.1,100,100,100,100,NA,66.7,50,50,75,100,66.7,0,100,100,66.7,66.7,66.7,66.7,80
S0037,CBSSA,2022-05-25,50,50,66.7,100,50,66.7,60,50,0,100,50,100,0,66.7,33.3,50,16.7,50,33.3,100
S0037,CCSE,2023-01-20,33.3,100,0,100,NA,66.7,100,83.3,0,66.7,0,100,33.3,33.3,60,75,83.3,100,100,50
S0037,CCSE,2023-05-01,100,75,100,100,60,100,100,100,100,50,100,80,66.7,0,100,75,0,50,60,75
S0037,CCSSA,2023-06-01,100,20,50,75,66.7,100,100,100,0,100,66.7,33.3,0,25,25,NA,50,0,50,NA
S0037,CCSSA,2023-06-25,100,66.7,75,100,75,75,66.7,66.7,0,60,50,100,100,50,75,75,50,66.7,75,100
S0037,Family Medicine,2022-08-15,0,66.7,50,66.7,33.3,80,50,0,100,100,33.3,100,66.7,33.3,33.3,80,100,50,100,66.7
S0037,Internal Medicine,2022-10-10,100,33.3,50,80,NA,100,33.3,50,100,33.3,100,83.3,33.3,0,100,60,100,100,100,25
S0037,ObGyn,2023-03-20,100,100,75,40,75,50,100,50,100,0,50,100,100,100,NA,100,66.7,50,50,33.3
S0037,Surgery,2023-01-10,NA,40,75,75,75,33.3,66.7,NA,100,40,NA,NA,75,100,50,20,60,50,75,100
S0038,CAS Proctored,2022-11-15,NA,50,50,0,50,80,40,66.7,100,50,100,100,75,100,25,80,75,NA,100,75
S0038,CAS Proctored,2023-03-15,100,66.7,100,0,50,60,50,75,50,50,50,25,100,100,100,100,60,50,NA,66.7
S0038,CBSE,2021-10-15,0,0,0,100,0,50,100,100,80,50,33.3,60,100,100,40,14.3,0,75,NA,50
S0038,CBSE,2022-02-10,33.3,33.3,100,50,50,100,25,100,100,50,50,75,0,50,75,100,100,33.3,50,75
S0038,CBSSA,2022-04-20,33.3,50,66.7,100,100,66.7,75,83.3,60,50,33.3,NA,33.3,0,75,100,50,66.7,0,100
S0038,CBSSA,2022-05-25,0,100,0,57.1,66.7,75,100,33.3,80,66.7,80,50,83.3,100,0,50,40,0,33.3,100
S0038,CCSE,2023-01-20,100,0,0,0,33.3,20,100,NA,75,100,0,80,NA,33.3,33.3,100,50,50,0,66.7
S0038,CCSE,2023-05-01,75,60,50,0,75,0,100,NA,83.3,50,0,75,100,100,100,75,100,100,100,40
S0038,CCSSA,2023-06-01,75,80,60,0,33.3,0,100,66.7,100,50,33.3,100,100,50,100,100,100,60,100,100
S0038,CCSSA,2023-06-25,33.3,100,100,50,75,50,50,0,60,50,100,25,50,NA,80,100,100,100,100,60
S0038,Family Medicine,2022-08-15,57.1,50,100,100,100,50,60,80,50,66.7,100,NA,60,0,100,100,100,33.3,66.7,50
S0038,Internal Medicine,2022-10-10,NA,100,25,100,100,60,75,0,100,50,100,50,40,100,60,100,NA,66.7,100,33.3
S0038,ObGyn,2023-03-20,100,100,50,80,50,100,75,66.7,66.7,100,100,100,100,100,80,50,75,50,100,100
S0038,Surgery,2023-01-10,50,66.7,100,100,0,71.4,100,66.7,50,50,50,80,0,50,66.7,25,100,80,83.3,0
S0039,CAS Proctored,2022-11-15,75,100,50,100,80,66.7,75,33.3,0,100,66.7,100,50,33.3,50,75,80,50,0,100
S0039,CAS Proctored,2023-03-15,50,0,100,66.7,50,33.3,100,33.3,66.7,66.7,100,100,66.7,25,75,50,50,NA,50,75
S0039,CBSE,2021-10-15,60,62.5,NA,100,100,66.7,100,75,66.7,0,50,57.1,0,100,100,100,66.7,0,100,100
S0039,CBSE,2022-02-10,100,50,42.9,NA,75,100,50,0,100,100,66.7,100,50,100,66.7,100,100,71.4,33.3,100
S0039,CBSSA,2022-04-20,100,50,100,60,100,0,50,60,75,100,66.7,50,20,100,50,100,60,50,50,50
S0039,CBSSA,2022-05-25,100,50,33.3,0,66.7,75,66.7,100,66.7,50,100,66.7,50,75,60,80,100,100,0,75
S0039,CCSE,2023-01-20,100,100,100,100,100,NA,100,66.7,60,66.7,0,66.7,33.3,100,50,100,50,66.7,75,50
S0039,CCSE,2023-05-01,50,80,100,100,57.1,66.7,25,60,0,100,100,0,NA,0,100,80,75,33.3,0,50
S0039,CCSSA,2023-06-01,60,50,100,100,75,75,33.3,0,50,100,66.7,50,66.7,100,50,100,40,80,50,100
S0039,CCSSA,2023-06-25,60,100,100,50,33.3,NA,100,25,100,66.7,50,66.7,71.4,66.7,50,50,0,50,66.7,100
S0039,Family Medicine,2022-08-15,100,75,0,33.3,60,0,50,100,20,0,100,80,NA,75,80,100,60,50,75,0
S0039,Internal Medicine,2022-10-10,75,60,100,66.7,NA,66.7,75,50,75,100,NA,66.7,50,100,100,66.7,80,50,0,62.5
S0039,ObGyn,2023-03-20,66.7,0,33.3,NA,100,100,100,20,100,83.3,33.3,100,NA,100,50,50,50,60,75,50
S0039,Surgery,2023-01-10,NA,50,40,50,0,37.5,0,50,100,0,0,33.3,50,100,100,100,33.3,100,100,100
S0040,CAS Proctored,2022-11-15,66.7,100,75,100,50,66.7,50,75,66.7,75,66.7,50,50,50,100,100,100,0,0,100
S0040,CAS Proctored,2023-03-15,100,50,50,50,100,66.7,100,100,33.3,42.9,50,75,50,50,66.7,60,100,60,0,NA
S0040,CBSE,2021-10-15,66.7,83.3,66.7,50,100,33.3,100,66.7,100,80,75,80,50,66.7,66.7,33.3,100,40,100,100
S0040,CBSE,2022-02-10,80,0,0,100,60,50,0,20,66.7,100,62.5,100,75,40,100,20,100,100,50,100
S0040,CBSSA,2022-04-20,100,66.7,75,0,75,50,50,42.9,33.3,40,33.3,40,100,100,100,50,66.7,100,50,NA
S0040,CBSSA,2022-05-25,100,60,80,100,25,75,50,100,100,50,50,0,50,100,66.7,40,50,100,33.3,50
S0040,CCSE,2023-01-20,20,NA,83.3,66.7,50,100,50,0,66.7,100,50,50,66.7,100,100,100,33.3,0,100,50
S0040,CCSE,2023-05-01,50,60,0,NA,60,40,50,NA,60,60,100,50,60,0,50,100,100,100,60,100
S0040,CCSSA,2023-06-01,80,33.3,50,50,50,75,50,60,0,100,0,75,75,100,0,80,50,75,100,50
S0040,CCSSA,2023-06-25,25,100,50,100,0,50,80,100,100,40,100,33.3,75,50,75,100,66.7,71.4,NA,100
S0040,Family Medicine,2022-08-15,50,100,100,0,50,50,50,100,50,100,100,100,60,50,NA,100,75,66.7,83.3,50
S0040,Internal Medicine,2022-10-10,NA,100,NA,33.3,100,100,80,80,33.3,50,50,25,66.7,50,50,50,NA,66.7,100,50
S0040,ObGyn,2023-03-20,66.7,33.3,75,75,50,100,83.3,75,50,100,71.4,0,50,0,100,50,33.3,75,NA,50
S0040,Surgery,2023-01-10,100,80,100,60,66.7,50,33.3,100,100,50,66.7,100,66.7,75,50,0,100,100,75,0
S0041,CAS Proctored,2022-11-15,100,66.7,100,100,75,75,20,100,100,50,100,50,50,80,33.3,33.3,100,28.6,25,NA
S0041,CAS Proctored,2023-03-15,33.3,80,100,100,100,75,100,0,80,100,50,0,50,100,100,0,66.7,75,75,100
S0041,CBSE,2021-10-15,80,100,60,100,50,83.3,100,80,100,33.3,0,100,66.7,100,66.7,50,100,100,60,100
S0041,CBSE,2022-02-10,60,NA,83.3,50,100,0,75,60,66.7,66.7,50,50,0,50,100,80,66.7,33.3,50,100
S0041,CBSSA,2022-04-20,0,33.3,100,0,50,100,0,75,100,50,100,75,33.3,50,75,33.3,66.7,33.3,0,25
S0041,CBSSA,2022-05-25,33.3,75,75,50,100,0,40,100,40,50,66.7,100,33.3,100,80,80,100,100,100,60
S0041,CCSE,2023-01-20,50,33.3,50,100,80,83.3,66.7,33.3,0,50,66.7,66.7,NA,42.9,NA,40,100,100,100,66.7
S0041,CCSE,2023-05-01,0,75,0,100,100,66.7,66.7,100,66.7,50,66.7,66.7,100,33.3,100,50,75,NA,66.7,40
S0041,CCSSA,2023-06-01,75,50,66.7,66.7,33.3,33.3,66.7,100,100,75,0,66.7,33.3,60,0,80,NA,100,NA,33.3
S0041,CCSSA,2023-06-25,66.7,100,100,100,50,100,66.7,0,50,60,66.7,80,50,66.7,40,25,100,57.1,100,50
S0041,Family Medicine,2022-08-15,50,0,100,66.7,NA,50,100,80,75,25,33.3,100,50,100,NA,100,66.7,20,100,100
S0041,Internal Medicine,2022-10-10,100,57.1,100,0,83.3,0,66.7,50,25,75,66.7,0,0,50,33.3,66.7,50,100,100,50
S0041,ObGyn,2023-03-20,0,100,60,0,100,50,100,50,100,66.7,50,50,80,83.3,40,75,75,33.3,100,50
S0041,Surgery,2023-01-10,100,75,66.7,100,66.7,33.3,33.3,83.3,50,100,100,50,25,75,60,0,NA,100,33.3,50
S0042,CAS Proctored,2022-11-15,100,100,100,60,NA,75,80,100,0,50,33.3,50,50,66.7,40,100,66.7,60,NA,0
S0042,CAS Proctored,2023-03-15,100,50,50,71.4,85.7,60,0,66.7,100,0,100,25,100,NA,0,NA,100,75,100,NA
S0042,CBSE,2021-10-15,0,50,60,60,50,NA,50,33.3,50,100,75,100,50,66.7,40,75,60,NA,100,100
S0042,CBSE,2022-02-10,66.7,66.7,100,33.3,100,33.3,80,50,50,0,80,100,50,100,100,66.7,80,100,50,60
S0042,CBSSA,2022-04-20,66.7,66.7,50,40,100,40,75,66.7,66.7,100,60,0,50,NA,0,50,0,75,33.3,100
S0042,CBSSA,2022-05-25,75,66.7,66.7,75,75,NA,100,85.7,50,100,66.7,83.3,100,NA,100,60,66.7,100,100,75
S0042,CCSE,2023-01-20,50,50,100,0,66.7,66.7,100,50,100,66.7,0,50,75,33.3,100,100,100,20,40,60
S0042,CCSE,2023-05-01,75,66.7,0,80,50,75,66.7,NA,80,75,0,100,80,0,33.3,100,66.7,100,66.7,50
S0042,CCSSA,2023-06-01,100,50,100,100,75,75,50,66.7,57.1,100,100,100,NA,100,100,80,100,83.3,75,80
S0042,CCSSA,2023-06-25,100,NA,100,66.7,80,50,100,100,33.3,50,62.5,33.3,100,50,33.3,66.7,100,NA,50,80
S0042,Family Medicine,2022-08-15,80,100,100,100,66.7,33.3,NA,75,33.3,66.7,80,66.7,66.7,50,50,50,50,50,83.3,50
S0042,Internal Medicine,2022-10-10,NA,66.7,75,33.3,66.7,50,100,100,80,20,100,66.7,20,100,100,0,0,66.7,100,100
S0042,ObGyn,2023-03-20,20,66.7,0,100,25,50,0,100,75,66.7,20,66.7,100,100,0,NA,100,0,50,NA
S0042,Surgery,2023-01-10,100,100,100,100,100,50,0,100,75,83.3,80,50,66.7,50,100,33.3,66.7,66.7,50,100
S0043,CAS Proctored,2022-11-15,100,40,33.3,50,100,100,100,50,100,0,NA,60,50,50,0,50,100,80,100,66.7
S0043,CAS Proctored,2023-03-15,50,80,0,66.7,NA,66.7,100,50,25,66.7,50,0,60,100,50,66.7,100,66.7,25,57.1
S0043,CBSE,2021-10-15,50,0,NA,66.7,NA,100,66.7,75,0,75,66.7,50,33.3,100,NA,100,100,50,0,0
S0043,CBSE,2022-02-10,75,80,66.7,33.3,100,100,42.9,100,50,100,50,100,66.7,87.5,NA,50,0,100,50,0
S0043,CBSSA,2022-04-20,75,100,50,50,100,75,0,66.7,0,75,100,60,100,100,100,100,100,50,100,66.7
S0043,CBSSA,2022-05-25,25,50,100,83.3,60,100,NA,0,66.7,100,0,100,33.3,50,33.3,100,25,60,57.1,100
S0043,CCSE,2023-01-20,50,100,50,33.3,50,25,100,66.7,100,33.3,100,66.7,0,50,75,100,83.3,100,100,100
S0043,CCSE,2023-05-01,75,100,50,80,60,40,0,100,100,100,60,100,75,100,100,50,100,100,0,100
S0043,CCSSA,2023-06-01,75,75,100,66.7,50,50,100,50,75,100,85.7,33.3,50,60,25,60,100,100,33.3,33.3
S0043,CCSSA,2023-06-25,100,100,100,50,42.9,71.4,100,80,NA,NA,100,0,60,100,100,33.3,80,100,50,60
S0043,Family Medicine,2022-08-15,66.7,100,100,25,100,75,75,100,66.7,77.8,100,100,100,50,50,75,50,50,100,100
S0043,Internal Medicine,2022-10-10,33.3,100,83.3,100,0,60,0,100,16.7,50,50,100,75,NA,75,60,100,100,50,0
S0043,ObGyn,2023-03-20,100,100,50,33.3,100,60,33.3,25,66.7,66.7,100,66.7,50,50,75,83.3,0,75,NA,0
S0043,Surgery,2023-01-10,33.3,33.3,66.7,100,50,83.3,NA,60,60,0,50,100,100,20,0,100,100,50,50,33.3
S0044,CAS Proctored,2022-11-15,80,33.3,100,85.7,60,100,50,50,66.7,66.7,0,100,50,NA,66.7,75,100,100,100,NA
S0044,CAS Proctored,2023-03-15,66.7,0,66.7,100,75,100,75,100,33.3,100,NA,57.1,50,NA,60,100,50,50,100,100
S0044,CBSE,2021-10-15,100,0,71.4,75,100,33.3,50,0,20,0,100,100,100,66.7,50,40,80,100,0,100
S0044,CBSE,2022-02-10,75,50,33.3,0,66.7,100,0,50,100,100,85.7,50,100,NA,0,60,66.7,66.7,100,100
S0044,CBSSA,2022-04-20,50,50,50,50,66.7,50,0,100,66.7,33.3,0,100,75,100,100,50,50,77.8,50,33.3
S0044,CBSSA,2022-05-25,50,100,100,60,33.3,100,66.7,100,80,100,100,100,83.3,66.7,100,66.7,75,75,50,66.7
S0044,CCSE,2023-01-20,66.7,33.3,100,0,50,25,66.7,50,100,100,0,66.7,66.7,80,100,50,100,50,NA,100
S0044,CCSE,2023-05-01,60,50,75,100,100,100,33.3,66.7,50,50,100,75,75,66.7,100,100,75,50,75,NA
S0044,CCSSA,2023-06-01,75,66.7,100,0,100,66.7,100,75,75,0,50,100,NA,40,42.9,50,NA,100,25,60
S0044,CCSSA,2023-06-25,33.3,66.7,66.7,42.9,66.7,80,80,33.3,NA,40,NA,NA,60,100,0,100,0,100,75,50
S0044,Family Medicine,2022-08-15,100,60,25,50,66.7,100,80,100,50,NA,100,75,66.7,NA,60,60,50,33.3,100,100
S0044,Internal Medicine,2022-10-10,66.7,85.7,66.7,100,66.7,0,50,40,25,100,80,0,80,66.7,100,100,100,50,100,100
S0044,ObGyn,2023-03-20,100,25,100,100,50,80,50,66.7,100,25,75,50,NA,66.7,66.7,50,100,0,80,100
S0044,Surgery,2023-01-10,100,NA,33.3,50,100,50,66.7,100,50,25,66.7,75,100,100,40,83.3,60,0,100,33.3
S0045,CAS Proctored,2022-11-15,100,50,50,50,50,100,50,100,80,50,33.3,66.7,75,66.7,83.3,25,NA,100,33.3,100
S0045,CAS Proctored,2023-03-15,50,0,66.7,50,66.7,100,83.3,66.7,40,0,50,100,33.3,100,100,66.7,100,66.7,0,100
S0045,CBSE,2021-10-15,50,0,66.7,0,100,50,66.7,100,60,100,50,83.3,100,50,100,50,75,50,33.3,50
S0045,CBSE,2022-02-10,50,60,100,75,100,0,100,100,80,50,0,100,100,50,33.3,100,100,100,33.3,100
S0045,CBSSA,2022-04-20,66.7,50,100,100,100,0,33.3,NA,33.3,75,0,100,100,100,75,75,66.7,66.7,100,100
S0045,CBSSA,2022-05-25,100,50,100,66.7,66.7,100,100,66.7,75,100,50,40,100,33.3,40,50,50,40,100,66.7
S0045,CCSE,2023-01-20,100,60,80,75,66.7,0,100,50,100,100,NA,100,100,80,60,50,0,100,0,33.3
S0045,CCSE,2023-05-01,100,50,100,33.3,75,100,100,0,83.3,50,100,100,33.3,NA,83.3,100,87.5,33.3,75,NA
S0045,CCSSA,2023-06-01,75,50,33.3,100,66.7,42.9,100,0,50,100,75,100,66.7,100,100,100,66.7,0,50,50
S0045,CCSSA,2023-06-25,50,50,100,50,50,100,100,100,100,25,25,100,0,0,66.7,33.3,50,75,50,100
S0045,Family Medicine,2022-08-15,50,0,100,100,50,66.7,100,66.7,85.7,100,33.3,75,66.7,33.3,80,100,NA,80,100,0
S0045,Internal Medicine,2022-10-10,0,100,NA,100,66.7,NA,80,33.3,100,50,80,40,50,50,66.7,50,0,50,50,66.7
S0045,ObGyn,2023-03-20,100,100,33.3,100,50,66.7,50,0,0,66.7,50,100,0,75,66.7,100,66.7,75,20,100
S0045,Surgery,2023-01-10,50,NA,100,50,66.7,75,0,100,66.7,0,100,33.3,0,66.7,50,66.7,80,50,50,66.7
S0046,CAS Proctored,2022-11-15,100,0,60,60,50,60,50,0,50,100,75,33.3,60,100,66.7,25,100,100,100,100
S0046,CAS Proctored,2023-03-15,66.7,NA,50,100,100,75,33.3,80,50,100,80,100,60,100,100,100,100,40,66.7,50
S0046,CBSE,2021-10-15,50,0,50,75,100,100,80,66.7,50,0,NA,57.1,71.4,50,0,100,20,0,100,100
S0046,CBSE,2022-02-10,100,75,66.7,100,50,75,NA,50,100,100,66.7,100,62.5,100,50,25,50,NA,0,60
S0046,CBSSA,2022-04-20,50,66.7,50,50,50,66.7,50,66.7,33.3,50,75,25,100,NA,100,75,60,66.7,100,66.7
S0046,CBSSA,2022-05-25,50,66.7,0,100,50,80,66.7,NA,0,100,100,0,50,NA,66.7,33.3,42.9,100,75,66.7
S0046,CCSE,2023-01-20,100,100,50,100,100,NA,71.4,33.3,100,100,33.3,100,50,33.3,33.3,50,66.7,40,100,100
S0046,CCSE,2023-05-01,NA,33.3,100,100,75,33.3,80,66.7,80,50,100,33.3,50,75,100,75,NA,0,100,100
S0046,CCSSA,2023-06-01,100,NA,66.7,100,100,33.3,100,83.3,80,100,83.3,60,33.3,100,100,100,75,50,75,NA
S0046,CCSSA,2023-06-25,50,66.7,100,100,66.7,100,100,66.7,100,50,33.3,66.7,75,100,40,100,0,50,33.3,50
S0046,Family Medicine,2022-08-15,50,0,100,100,66.7,NA,100,57.1,50,0,0,40,0,75,0,100,33.3,33.3,66.7,50
S0046,Internal Medicine,2022-10-10,66.7,100,57.1,42.9,66.7,NA,0,0,100,100,50,100,100,50,100,57.1,100,66.7,71.4,100
S0046,ObGyn,2023-03-20,33.3,NA,50,50,50,0,33.3,40,33.3,80,83.3,100,50,62.5,100,100,100,100,100,100
S0046,Surgery,2023-01-10,50,50,66.7,100,75,50,60,100,33.3,100,100,25,100,66.7,66.7,50,50,100,83.3,100
S0047,CAS Proctored,2022-11-15,100,50,100,100,100,33.3,100,33.3,50,100,100,25,0,100,0,25,100,50,50,100
S0047,CAS Proctored,2023-03-15,50,50,100,75,33.3,100,50,100,50,100,57.1,0,100,100,66.7,75,50,NA,50,66.7
S0047,CBSE,2021-10-15,33.3,75,60,66.7,50,50,0,100,75,100,100,100,50,66.7,100,100,100,100,60,20
S0047,CBSE,2022-02-10,0,100,NA,50,66.7,66.7,50,100,100,100,100,100,80,80,33.3,50,33.3,100,100,0
S0047,CBSSA,2022-04-20,60,100,100,25,0,40,100,75,0,0,100,66.7,100,NA,0,60,57.1,80,100,100
S0047,CBSSA,2022-05-25,50,0,100,50,NA,80,100,0,80,100,0,60,100,NA,100,83.3,100,0,100,71.4
S0047,CCSE,2023-01-20,33.3,0,50,80,NA,0,100,25,50,50,100,0,50,100,100,75,40,83.3,100,100
S0047,CCSE,2023-05-01,50,100,80,100,50,100,40,80,60,66.7,50,75,100,0,100,33.3,75,100,100,50
S0047,CCSSA,2023-06-01,0,50,50,100,50,60,33.3,50,66.7,50,100,50,75,80,NA,100,33.3,85.7,50,NA
S0047,CCSSA,2023-06-25,NA,40,66.7,20,0,50,50,33.3,66.7,80,0,0,0,40,75,100,100,25,66.7,100
S0047,Family Medicine,2022-08-15,NA,100,50,0,100,100,66.7,83.3,50,100,66.7,100,0,66.7,100,100,50,33.3,40,0
S0047,Internal Medicine,2022-10-10,33.3,33.3,50,60,50,NA,66.7,80,100,100,60,50,33.3,100,66.7,50,75,100,0,50
S0047,ObGyn,2023-03-20,75,80,50,33.3,100,100,50,100,100,0,100,0,100,100,50,100,100,0,20,100
S0047,Surgery,2023-01-10,33.3,66.7,100,33.3,100,100,100,75,40,50,100,100,100,75,100,100,40,66.7,66.7,50
S0048,CAS Proctored,2022-11-15,0,100,100,80,100,50,75,0,50,0,100,75,85.7,0,66.7,66.7,100,60,100,100
S0048,CAS Proctored,2023-03-15,100,75,66.7,0,100,66.7,50,100,NA,100,75,66.7,NA,50,0,33.3,60,50,83.3,100
S0048,CBSE,2021-10-15,60,100,66.7,100,50,66.7,0,NA,50,66.7,100,66.7,100,33.3,33.3,NA,100,42.9,50,75
S0048,CBSE,2022-02-10,66.7,NA,50,100,66.7,25,NA,80,50,50,33.3,100,50,100,75,50,75,60,75,75
S0048,CBSSA,2022-04-20,100,50,100,75,50,0,83.3,0,0,100,NA,100,60,75,60,66.7,0,0,25,50
S0048,CBSSA,2022-05-25,100,42.9,0,66.7,33.3,100,100,100,0,66.7,NA,100,100,75,60,60,0,100,100,75
S0048,CCSE,2023-01-20,50,100,50,0,75,66.7,80,100,100,0,0,66.7,0,33.3,75,100,0,80,33.3,75
S0048,CCSE,2023-05-01,33.3,75,0,NA,100,75,100,0,50,0,100,100,100,50,100,100,66.7,80,66.7,50
S0048,CCSSA,2023-06-01,100,50,50,20,75,NA,25,50,60,25,NA,66.7,75,33.3,60,75,50,100,NA,50
S0048,CCSSA,2023-06-25,100,100,0,50,66.7,0,50,57.1,50,60,66.7,60,100,100,50,66.7,100,0,0,66.7
S0048,Family Medicine,2022-08-15,83.3,0,100,100,83.3,0,50,50,0,25,NA,100,50,66.7,71.4,100,100,66.7,100,100
S0048,Internal Medicine,2022-10-10,71.4,NA,50,100,71.4,100,66.7,100,100,50,100,50,66.7,60,NA,33.3,50,60,100,50
